DuplicateGroupID,Action,RowNumber,QID,Source,Exam,Number,Topic,Subtopic,Difficulty,CorrectLetter,VerifiedAnswer,VerificationStatus,Question
53,DELETE_CANDIDATE,106,1108,SCP,2,51,Databricks Intelligence Platform,Explain the value of the Data Intelligence Platform,Easy,D,D,Confirmed,In which of the following file formats is data from Delta Lake tables primarily stored?
53,KEEP,159,1163,SCP,3,49,Databricks Intelligence Platform,Explain the value of the Data Intelligence Platform,Easy,E,E,Confirmed,In which of the following file formats is data from Delta Lake tables primarily stored?
54,DELETE_CANDIDATE,108,1110,SCP,2,53,Data Governance & Quality,Unity Catalog permissions,Easy,B,B,Confirmed,What level of access does a Metastore Admin have in the Databricks Unity Catalog?
54,KEEP,147,1150,SCP,3,36,Data Governance & Quality,Unity Catalog permissions,Easy,B,B,Confirmed,What level of access does a Metastore Admin have in the Databricks Unity Catalog?
55,DELETE_CANDIDATE,109,1111,SCP,2,54,Development and Ingestion,Understand notebook capabilities,Easy,D,D,Confirmed,How can you execute Python and SQL code within the same Databricks notebook?
55,KEEP,196,1203,SCP,4,33,Development and Ingestion,Understand notebook capabilities,Easy,D,D,Confirmed,How can you execute Python and SQL code within the same Databricks notebook?
56,DELETE_CANDIDATE,114,1117,SCP,3,3,Data Governance & Quality,Unity Catalog permissions,Easy,C,C,Confirmed,Which of the following statements is true about the Workspace Admin role in the Databricks Unity Catalog?
56,KEEP,136,1139,SCP,3,25,Data Governance & Quality,Unity Catalog permissions,Easy,B,B,Confirmed,Which of the following statements is true about the Workspace Admin role in the Databricks Unity Catalog?
57,DELETE_CANDIDATE,115,1118,SCP,3,4,Data Processing & Transformations,Medallion Architecture,Easy,C,C,Confirmed,Which statement accurately describes the relationship between Bronze tables and raw data?
57,KEEP,435,1489,SCP,9,22,Data Processing & Transformations,Medallion Architecture,Easy,D,D,Confirmed,Which statement accurately describes the relationship between Bronze tables and raw data?
58,DELETE_CANDIDATE,118,1121,SCP,3,7,Development and Ingestion,Understand notebook capabilities,Medium,A,A,Confirmed,"Your team is working on a project with a high volume of data transformations and model training tasks. To optimize resource allocation and improve efficiency, which Databricks feature should you use to isolate these tasks in separate environments?"
58,KEEP,135,1138,SCP,3,24,Databricks Intelligence Platform,Select appropriate compute,Hard,A,A,Confirmed,"Your team is working on a project with a high volume of data transformations and model training tasks. To optimize resource allocation and improve efficiency, which Databricks feature should you use to isolate these tasks in separate environments?"
59,DELETE_CANDIDATE,133,1136,SCP,3,22,Data Governance & Quality,Unity Catalog permissions,Hard,C,C,Confirmed,A newly formed data engineering team ‘team‘ has been tasked with an ELT project and requires complete access to the ‘customers‘ database to manage the project effectively. Which command should be used to grant the new data engineering team ‘team‘ with full permissions on the ‘customers‘ database?
59,KEEP,170,1174,SCP,4,4,Data Governance & Quality,Unity Catalog permissions,Hard,C,C,Confirmed,A newly formed data engineering team ‘team‘ has been tasked with an ELT project and requires complete access to the ‘customers‘ database to manage the project effectively. Which command should be used to grant the new data engineering team ‘team‘ with full permissions on the ‘customers‘ database?
60,DELETE_CANDIDATE,134,1137,SCP,3,23,Databricks Intelligence Platform,Explain the value of the Data Intelligence Platform,Easy,C,C,Confirmed,What is primarily managed within the control plane of Databricks‘ architecture?
60,KEEP,206,1215,SCP,4,45,Databricks Intelligence Platform,Explain the value of the Data Intelligence Platform,Easy,A,A,Confirmed,What is primarily managed within the control plane of Databricks‘ architecture?
61,DELETE_CANDIDATE,137,1140,SCP,3,26,Development and Ingestion,Understand notebook capabilities,Medium,D,D,Confirmed,A data engineer needs to run the last part of a Python script only if the variable day_of_week is 1 and review_period is True. Which line of code should they use to start this part of the script?
61,KEEP,434,1487,SCP,9,20,Development and Ingestion,Understand notebook capabilities,Medium,D,D,Confirmed,A data engineer needs to run the last part of a Python script only if the variable day_of_week is 1 and review_period is True. Which line of code should they use to start this part of the script?
62,DELETE_CANDIDATE,138,1141,SCP,3,27,Data Governance & Quality,Unity Catalog permissions,Medium,B,B,Confirmed,"In the Databricks Unity Catalog, which role is primarily responsible for managing underlying cloud resources such as storage accounts/buckets and IAM roles/service principals/managed identities?"
62,KEEP,209,1219,SCP,4,49,Data Governance & Quality,Unity Catalog permissions,Medium,D,D,Confirmed,"In the Databricks Unity Catalog, which role is primarily responsible for managing underlying cloud resources such as storage accounts/buckets and IAM roles/service principals/managed identities?"
63,DELETE_CANDIDATE,183,1189,SCP,4,19,Data Processing & Transformations,DDL and DML features,Easy,D,D,Confirmed,How do you create a permanent view in Databricks SQL that references data from a CSV file stored in DBFS?
63,DELETE_CANDIDATE,192,1199,SCP,4,29,Data Processing & Transformations,DDL and DML features,Easy,C,C,Confirmed,How do you create a permanent view in Databricks SQL that references data from a CSV file stored in DBFS?
63,KEEP,465,1534,SCP,10,8,Data Processing & Transformations,DDL and DML features,Easy,A,A,Confirmed,How do you create a permanent view in Databricks SQL that references data from a CSV file stored in DBFS?
64,KEEP,219,1231,SCP,5,3,Development and Ingestion,Use Auto Loader and debugging tools,Easy,D,D,Confirmed,Which of the following is used by Auto Loader to load data incrementally?
64,DELETE_CANDIDATE,695,1786,UD,1,17,Development and Ingestion,Auto Loader,Medium,D,D,Confirmed,Which of the following is used by Auto Loader to load data incrementally?
65,DELETE_CANDIDATE,387,1428,SCP,8,20,Data Processing & Transformations,PySpark aggregations,Easy,B,B,Confirmed,"In Spark SQL, which of the following is necessary to perform a PIVOT operation?"
65,DELETE_CANDIDATE,389,1431,SCP,8,23,Data Processing & Transformations,PySpark aggregations,Easy,A,A,Confirmed,"In Spark SQL, which of the following is necessary to perform a PIVOT operation?"
65,KEEP,390,1432,SCP,8,24,Data Processing & Transformations,PySpark aggregations,Easy,D,D,Confirmed,"In Spark SQL, which of the following is necessary to perform a PIVOT operation?"
66,DELETE_CANDIDATE,422,1470,SCP,9,3,Data Processing & Transformations,Lakeflow Spark Declarative Pipelines,Medium,C,C,Confirmed,"In order for Structured Streaming to reliably track the exact progress of the processing so that it can handle any kind of failure by restarting and/or reprocessing, which of the following two approaches is used by Spark to record the offset range of the data being processed in each trigger?"
66,KEEP,424,1472,SCP,9,5,Productionizing Pipelines,Workflow deployment and recovery,Medium,A,A,Confirmed,"In order for Structured Streaming to reliably track the exact progress of the processing so that it can handle any kind of failure by restarting and/or reprocessing, which of the following two approaches is used by Spark to record the offset range of the data being processed in each trigger?"
67,DELETE_CANDIDATE,425,1474,SCP,9,7,Data Processing & Transformations,DDL and DML features,Easy,C,C,Confirmed,What prefix is used in Databricks SQL to query data directly from Parquet files?
67,KEEP,426,1475,SCP,9,8,Data Processing & Transformations,DDL and DML features,Easy,D,D,Confirmed,What prefix is used in Databricks SQL to query data directly from Parquet files?
68,DELETE_CANDIDATE,433,1486,SCP,9,19,Development and Ingestion,Understand notebook capabilities,Easy,D,D,Confirmed,Which of the following operations can only be implemented through a GIT provider when using Databricks Repos?
68,KEEP,436,1491,SCP,9,24,Databricks Intelligence Platform,Select appropriate compute,Easy,D,D,Confirmed,Which of the following operations can only be implemented through a GIT provider when using Databricks Repos?
69,DELETE_CANDIDATE,677,1768,UD,1,-1,Development and Ingestion,Repos and Git Operations,Medium,E,E,Confirmed,"In Databricks Repos, which of the following operations a data engineer can use to update the local version of a repo from its remote Git repository?"
69,KEEP,679,1770,UD,1,1,Development and Ingestion,Repos and Git Operations,Medium,E,E,Confirmed,"In Databricks Repos, which of the following operations a data engineer can use to update the local version of a repo from its remote Git repository?"
70,DELETE_CANDIDATE,678,1769,UD,1,0,Databricks Intelligence Platform,Lakehouse Architecture,Medium,D,D,Confirmed,"According to the Databricks Lakehouse architecture, which of the following is located in the customer's cloud account?"
70,KEEP,680,1771,UD,1,2,Databricks Intelligence Platform,Lakehouse Architecture,Medium,D,D,Confirmed,"According to the Databricks Lakehouse architecture, which of the following is located in the customer's cloud account?"
