QID,Topic,Subtopic,Question,CorrectLetter,CorrectAnswer,miss_count,MemoryHook
1368,Productionizing Pipelines,Workflow deployment and recovery,Where are the job results stored in the Databricks Architecture?,C,DBFS layer on customer managed storage,0,External data stored outside Databricks: customer managed storage
1369,Databricks Intelligence Platform,Explain the value of the Data Intelligence Platform,Which of the following statements correctly describes the Delta Lake?,D,"Delta Lake is an open format storage layer that delivers reliability, security, and performance.",0,Delta Lake = open format storage for reliability + security + performance
1370,Data Processing & Transformations,DDL and DML features,Which of the following statements is incorrect about a managed table in Databricks?,B,Data for a managed table does not resides in the LOCATION of the database it is registered to,1,Managed table: data lives in Databricks-managed location
1371,Databricks Intelligence Platform,Optimize data layout and query performance,"A data engineer has noticed that a query on the transactions Delta table which contains huge data is running too slowly. Upon debugging, he found out that it contains a lot of small files and the column transactionId which has a high cardinality and on which data needs to be filtered, is sparsely located throughout each of the data files. Which of the following commands can be used by data engineer to do the performance optimization?",E,OPTIMIZE transactions ZORDER BY (transactionId),1,OPTIMIZE + co-locate related data: ZORDER BY (column)
1373,Data Processing & Transformations,DDL and DML features,A data engineer needs to create a database called retail using the following location dbfs:/mnt/datalake/databases/retail. The data engineer is unsure if one of their colleagues has already created the database or not. Which of the following commands should the data engineer run to complete this task?,D,CREATE DATABASE IF NOT EXISTS retail LOCATION ‘dbfs:/mnt/datalake/databases/retail‘;,1,Create DB at specific path: CREATE DATABASE ... LOCATION 'dbfs:...'
1375,Development and Ingestion,Understand notebook capabilities,A data engineer is working on a task and wants to process the data based on a parameter called department provided to the Databricks notebook at run time. The default value is all. Which of the following code snippets can be used by the data engineer to create and assign the parameter to a Python variable so that data gets processed accordingly?,B,"dbutils.widgets.text(“department“, “all“, “Department“)
current_department = dbutils.widgets.get(“department“)",1,"Text widget: dbutils.widgets.text(name, default, label) then .get(name)"
1376,Data Processing & Transformations,DDL and DML features,A data engineer has to create a Delta table called customers which is going to contain Personally Identifiable Information (PII). A senior data engineer suggested adding a description “Table contains PII” so that any user accessing the table’s metadata will know what kind of information it contains. Which of the following code snippets should be added to achieve this?,C,COMMENT “Table contains PII“,0,Tag table with PII: COMMENT 'Table contains PII' in DDL
1380,Development and Ingestion,Understand notebook capabilities,A data analyst has to do exploratory data analysis of weather data for multiple countries. She wants to select the name of a single country at a time and then assign it to a Python variable so that it can be used as a parameter in a function to process the data for that country. The default value of country is “India“ Which of the following code blocks can be used by data analyst to do this task?,B,"dbutils.widgets.dropdown(“country“, “India“, [“India“, “Canada“, “England“, “USA“]) current_country = dbutils.widgets.get(“country“)",0,"Dropdown widget: dbutils.widgets.dropdown(name, default, [options])"
1381,Data Processing & Transformations,DDL and DML features,A data engineer has to manually delete all the files and directory associated with sales table present  in the location “/databricks-datasets/retail-org/sales“ Which of the following commands can be used to accomplish this task?,D,"dbutils.fs.rm(“/databricks-datasets/retail-org/sales“,True)",1,"Delete DBFS directory recursively: dbutils.fs.rm(path, True)"
1384,Databricks Intelligence Platform,Optimize data layout and query performance,A data engineering team is working on a performance optimization task. They have noticed that a query on the orders Delta table which contains huge data is running too slowly. It‘s because it contains a lot of small files. They want to trigger compaction by running the OPTIMIZE command for the data of year 2022 only. Which of the following commands can be used by them to achieve this task?,D,OPTIMIZE orders WHERE order_date >= ‘2022-01-01‘,0,OPTIMIZE on partition subset: OPTIMIZE table WHERE date >= '...'
1385,Data Processing & Transformations,PySpark aggregations,Which of the following commands will help you to find count of null values in the column alternate_email of an existing Delta table customers?,A,SELECT count_if(alternate_email IS NULL) AS missing_alternate_emails FROM customers,0,Count NULLs in column: count_if(col IS NULL) AS alias
1386,Data Processing & Transformations,DDL and DML features,You need to create a table users in Databricks by extracting data from a table in an external SQLite database ecommerce. Which of the following queries you will use to create this table?,C,"CREATE TABLE users USING JDBC OPTIONS ( url = “jdbc:sqlite:/${da.username}_ecommerce.db“, dbtable = “users“ )",2,"JDBC shorthand: CREATE TABLE ... USING JDBC OPTIONS (url, dbtable)"
1387,Data Processing & Transformations,DDL and DML features,"A data engineer wants to horizontally combine two tables as part of a query. He uses a shared column as the key column. He wants the result to contain rows whose value of key column is present in both tables. Apart from this, he wants to get the non-matching rows also which are present both of these tables. Which of the following SQL commands can be used by data engineer to accomplish this task?",E,FULL OUTER JOIN,1,"All rows from both sides, nulls for non-matches: FULL OUTER JOIN"
1388,Development and Ingestion,Understand notebook capabilities,Which of the following code snippets you can use to print the numbers from 1 to 10 in Python?,D,"for i in range(1, 11): print(i)",0,"Python loop: for i in range(start, end): print(i)"
1390,Data Processing & Transformations,PySpark aggregations,A data engineer is working on a task to process the data. He wants to do the unit testing by confirming that number of rows returned by the querying a table is more than 0. He has written the following code to get the row_count. row_count = spark.sql(“select count(*) from table_name“).collect()[0][0] Which of the following statements in Python can be used to test the functionality of code and confirm that number of rows returned are more than 0?,C,"assert row_count > 0, “Row count should be more than 0“",2,"Assert non-empty: assert row_count > 0, 'message'"
1391,Databricks Intelligence Platform,Explain the value of the Data Intelligence Platform,A data engineer needs to drop retail database along with all the tables inside it provided that all tables inside the database are managed tables. Which of the following commands can be used by data engineer to accomplish this task?,B,DROP DATABASE retail CASCADE,0,Delete database and all objects: DROP DATABASE name CASCADE
1393,Development and Ingestion,Use Auto Loader and debugging tools,A team of data scientists trained a machine learning model on a particular version of a Delta table called credit_scores which has data related to the credit history of its customers. They want to archive this version of table so that it can be used in future for some testing or adhoc-analysis purpose. Which of the following options can be used by them to just clone the Delta transaction logs and not the data files to clone target?,B,SHALLOW CLONE,0,Copy table without data files: SHALLOW CLONE
1397,Data Processing & Transformations,Lakeflow Spark Declarative Pipelines,What is the default output mode for a Structured Streaming Query in Spark provided that the target table is fault-tolerant and existing rows are never going to change?,D,Append,0,DLT default write mode for new data: Append
1398,Data Processing & Transformations,PySpark aggregations,Which of the following operations is not supported with streaming dataframe view? ( spark.readStream .table(“recordings_bronze“) .createOrReplaceTempView(“recordings_tmp_vw“) ),E,SELECT * FROM recordings_tmp_vw ORDER BY device_id,2,Order query results: SELECT ... ORDER BY column
1402,Productionizing Pipelines,Workflow deployment and recovery,"A data engineer has to set up a Databricks notebook as a job to process data for the five departments within the organization. The notebook takes an input parameter called department_name and there is no dependency between any of the departments, so the tasks for each of them can run concurrently. Which of the following approaches can be taken by the data engineer to complete his work?",D,"A task accepts key-value pair parameters, creates five tasks, pass department_name as parameter for each task with no dependency in the job as they can all run in parallel.",0,"Parallel parameterized tasks: pass key-value params, no dependencies"
1405,Data Governance & Quality,Unity Catalog permissions,Which of the following statements is incorrect about the Unity Catalog in Databricks?,D,External tables are the default way to create tables in Unity Catalog. These tables are stored in the root storage location you configure when you create a metastore. They use the Delta table format.,0,Unity Catalog default: managed tables in root storage as Delta
1406,Databricks Intelligence Platform,Select appropriate compute,"As a data engineer, you have to create summary of a data set for reporting. You have scheduled a Databricks notebook as a job for this task but you noticed that it takes around 10 minutes to start the cluster. Which of the following options can be used to solve this problem?",E,Use the Databricks cluster pools feature to reduce the start up time,0,Reduce cluster startup time: use cluster pools
1407,Data Processing & Transformations,DDL and DML features,"A junior data engineer who has recently joined the team is working on task to update some bad data in a Delta table. He is manually copying the data files to a backup folder prior to running an update command, in case if the update command wouldn‘t provide the expected result then he can use the backup data to restore the table to its original version. As a senior data engineer, which of the following features of the Delta Lake you would recommend to your colleague in order to ease his task?",D,Use time travel feature of Delta table to rollback to its previous version in case of any issues,0,Accidental DELETE? Roll back with Delta time travel
1408,Databricks Intelligence Platform,Optimize data layout and query performance,"A senior data engineer was running the following command on the orders Delta table. VACUUM orders RETAIN 0 HOURS It was running fine but before the command execution got completed, a junior data engineer in the team who didn‘t know about this ongoing task, started ingesting data from a source table having non-zero records into the orders Delta table. After data ingestion process got completed successfully, junior data engineer queried the table but no data was present in it and there was no obvious error message provided. Then, he got know from senior data engineer that an insert operation was performed parallel to vacuum. They tried to check the history of table but no specific action was mentioned over there apart from VACUUM and INSERT. Which of the following options can be the possible reason for this to happen?",E,"When VACUUM command is configured to retain 0 hours, it can delete any file that is not part of the version that is being vacuumed. This includes committed files, uncommitted files, and temporary files for concurrent transactions.",0,VACUUM RETAIN 0: deletes ALL non-current files including uncommitted
1409,Productionizing Pipelines,Workflow deployment and recovery,A data engineer wants to schedule a query in Databricks SQL so that it can run automatically every week to process the data which he needs to share with the data analysis team. Which of the following approaches can be used by the data engineer to accomplish this task?,C,He can schedule the query to run every week from the Queries page in Databricks SQL,0,Schedule SQL query: from Queries page in Databricks SQL
1410,Data Processing & Transformations,DDL and DML features,Which of the following SQL keywords can be used to change the schema or properties of an existing Delta table?,D,ALTER,0,Modify table structure (add/rename/drop cols): ALTER TABLE
1411,Data Processing & Transformations,DDL and DML features,"A data engineer is working with the data of a client who deals into agricultural products. He wants to convert the quantity of food grains from Kg to Ton which are stored in each of the warehouses. The schema of the food_items table is given below.

col_name       | data_type
warehouse_id  | int
food_grains   | array<struct<food_grain_stock_id:int, food_grain_name:string, food_grain_qty:double, food_grain_price:double>>

Which of the following higher order functions can be put in below query in order to get the data in the desired form? Assume that 1 ton = 1000 kgs.

SELECT warehouse_id,
       food_grains,
       __ as food_grains_qty_in_tons
FROM food_items;",C,"TRANSFORM(food_grains, f -> f.food_grain_qty / 1000)",0,"Lambda on array elements: TRANSFORM(arr, elem -> elem.field / N)"
1413,Productionizing Pipelines,Workflow deployment and recovery,A data engineering team is using a Databricks SQL query to monitor the performance of an ELT job. The ELT job is triggered by a specific number of input records being ready to process. Databricks SQL query returns the number of hours since the job’s most recent runtime.,D,They can set up an Alert for the query to notify them if the returned value is greater than 24.,0,Alert on threshold: Alert fires when query result > value
1414,Productionizing Pipelines,Workflow deployment and recovery,"A data engineering manager wants to accurately monitor the costs associated with Databricks usage across different business units in the organization. There are many jobs which run on a daily, weekly and monthly basis but it is not easy to track the cost of every individual job run. Which of the following options can be used to provide a solution for monitoring and tracking costs for various workloads?",E,Use appropriate tags while creating a cluster used for every job across different business units.,0,Track cluster costs by unit: tag clusters at creation
1418,Development and Ingestion,Understand notebook capabilities,Which of the following methods in Databricks notebook can be used to view the contents of a Spark DataFrame df in a tabular format along with the option of creating different embedded visualizations on the data?,E,display(df),0,Display DataFrame in notebook: display(df)
1419,Data Processing & Transformations,DDL and DML features,"A data engineer is working on a task to process the data coming from an e-commerce application. He has got two tables called orders and customers whose schema along with the sample data is given below.

orders:
order_id bigint, order_customer_id bigint, items array<int>

order_id | order_customer_id | items
101      | 1                 | [17, 2, 59, 768, 46]
102      | 2                 | [34, 67, 82, 45]
...      | ...               | ...

customers:
customer_id bigint, customer_name string, customer_email string

customer_id | customer_name | customer_email
1           | Vicky         | vicky@abc.com
2           | Rahul         | rahul@xyz.com
...         | ...           | ...

He wants to fetch the details of customers along with number of items in each of the orders that they have placed. Which of the following code blocks can be used by the data engineer to complete this task?",C,"SELECT c.customer_id, c.customer_name, c.customer_email, o.order_id,
COUNT(o.item_id) as total_items
FROM customers c
INNER JOIN
(SELECT order_id, order_customer_id, EXPLODE(items) as item_id FROM orders) o
ON c.customer_id = o.order_customer_id
GROUP BY c.customer_id, c.customer_name, c.customer_email, o.order_id;",1,Flatten array in subquery then JOIN: explode in inline SELECT
1420,Data Processing & Transformations,DDL and DML features,"As a data engineer, you are working on a task to identify the employees whose salary is greater than USD 500000 within each department in the company. The schema of the company table is given below.

col_name        | data_type
department_id  | int
employees      | array<struct<employee_id:int, employee_name:string, employee_salary:double, employee_age:int>>

Which of the following code snippets can be used to complete that task?",E,"SELECT
department_id,
FILTER(employees, e -> e.employee_salary > 500000) as employees_with_high_salary
FROM company;",1,"Filter array in SELECT: FILTER(array_col, elem -> condition)"
1421,Data Processing & Transformations,PySpark aggregations,"A data engineer is working on a task to transform the sales data of each quarter for different geographical regions. The schema and sample data of the sales table is given below.

col_name | data_type
year     | int
quarter  | int
region   | string
sales    | double

year | quarter | region | sales (in million USD)
2018 | 1       | east   | 100.67
2018 | 2       | east   | 20.34
2018 | 3       | east   | 40.06
2018 | 4       | east   | 40.52
2018 | 1       | west   | 105.98
2018 | 2       | west   | 25.32
2018 | 3       | west   | 45.76
2018 | 4       | west   | 45.21
2019 | 1       | east   | 120.35
2019 | 2       | east   | 110.51
2019 | 3       | east   | 80.49
2019 | 4       | east   | 60.21
2019 | 1       | west   | 125.42
2019 | 2       | west   | 115.8
2019 | 3       | west   | 85.13
2019 | 4       | west   | 65.77

He wants to create a view having different columns for each quarter of every year so that sales can be displayed in different columns for each quarter. Which of the following SQL commands can be used by him to complete this task?",B,"CREATE OR REPLACE VIEW sales_across_quarter
AS
SELECT year, region, q1, q2, q3, q4
FROM sales
PIVOT
(sum(sales) AS sales
FOR quarter
IN (1 AS q1, 2 AS q2, 3 AS q3, 4 AS q4)
);",0,"PIVOT in view: FOR quarter IN (1 AS q1, 2 AS q2, ...)"
1422,Productionizing Pipelines,Workflow deployment and recovery,"A data engineer has configured a Structured Streaming job to read from a table, manipulate the data, and then perform a streaming write into a new table. The code block used by him is given below: ( spark.table(“sales“) .withColumn(“avg_price“, col(“sales“) / col(“units“)) .writeStream .option(“checkpointLocation“, checkpointPath) .outputMode(“complete“) ._________ .table(“new_sales“) ) If he wants the query to execute in multiple micro-batches to process all the available data and then stop on its own, then which of the following lines of code should the data engineer use to fill in the blank above?",A,trigger(availableNow=True),1,One-time micro-batch then stop: trigger(availableNow=True)
1423,Data Processing & Transformations,DDL and DML features,"As a data engineer, you are working on the data coming from an e-commerce website and stored in the events table whose schema is given below.

col_name         | data_type
user_id          | string
device           | string
event_name       | string
event_timestamp  | bigint
geo              | struct<city:string, state:string, country:string>
items            | array<struct<item_id:string, item_name:string, price_in_usd:double, quantity:bigint>>

You want to query the data based on country subfield in the geo field which is of struct type. Which of the following queries can be used to accomplish this task?",A,SELECT geo.country FROM events WHERE geo.country = ‘India‘,1,Nested struct access in WHERE: col.nested_field = 'value'
1424,Productionizing Pipelines,Workflow deployment and recovery,"A data science team wants to build a machine learning pipeline in which clickstream and orders data is going to be ingested using the Delta Live Tables (DLT). Post that, a Notebook which has logic written in Python, needs to be run for data transformation, feature extraction and then training & testing the predictive model. They want to orchestrate this entire process using the Databricks Workflows. Which of the following approaches can be used by the team to accomplish this task?",B,"Single job can be used to setup both DLT Pipeline task and Notebook task. So, use two different tasks in same job with a linear dependency.",0,DLT + Notebook in one job: two tasks with linear dependency
1426,Databricks Intelligence Platform,Explain the value of the Data Intelligence Platform,"A data analyst has created a query in Databricks SQL to analyze different key metrics for their e-commerce business on a monthly basis like the number of orders placed, number of repeat customers, total revenue generated, total profit made and so on across multiple geographical regions. She wants to see the results dynamically for different states in the country based on the particular value selected. Which of the following is the best approach that can be used by the data analyst to complete this task?",C,Use dropdown list with single value select option as query parameter and select any value of State from that list to substitute into query at runtime for getting the desired results,0,Runtime query filter: dropdown widget as query parameter
1429,Development and Ingestion,Understand notebook capabilities,A junior data engineer is trying hard to figure out the logic which he modified two weeks back while working on a data processing task. He wants to revert the changes which he did in code and restore it to the original one but he couldn‘t remember all the details. A senior data engineer experienced in Databricks suggests that there is a better solution to this kind of a problem. Which of the following supports the senior data engineer‘s claim?,C,Databricks Notebooks support automatic change-tracking and versioning,0,Databricks notebooks: built-in version history + change tracking
1432,Data Processing & Transformations,PySpark aggregations,"In Spark SQL, which of the following is necessary to perform a PIVOT operation?",D,An aggregate function to summarize the data,0,Summarize grouped data: use an aggregate function (SUM/AVG/COUNT)
1433,Data Processing & Transformations,DDL and DML features,A new team member Tom Hanks has joined the data analysis team in the organization. He currently has access to read data from the inventory table but he does not have the access to insert and delete rows. Which of the following commands can be used to grant him this access?,E,GRANT MODIFY ON TABLE inventory TO tom.hanks@organization.com,1,Grant write access to table: GRANT MODIFY ON TABLE ... TO user
1436,Development and Ingestion,Understand notebook capabilities,"What is the output of the below function in Python? def my_func(x, y=1): if x < y: x = 2 * x if x == y: x += 1 y -= 2 return (x, y) output = my_func(1, 2)",C,"(3, 0)",1,"Python version tuple indexing: (major, minor)[0] = major"
1437,Data Governance & Quality,Unity Catalog permissions,"A senior data analyst called James is currently the owner of marketing schema. As part of an upcoming social media marketing campaign, Michael wants to create a new table called digital_marketing inside that schema. James granted the CREATE TABLE privilege to Michael and then he created that table for his work. Who is basically the owner of the new table called digital_marketing?",C,Michael is the owner of the digital_marketing table.,0,Table owner = creator unless explicitly transferred
1438,Development and Ingestion,Use Auto Loader and debugging tools,"A data engineer has loaded data from external CSV files into a Delta table using the COPY INTO command given below: COPY INTO my_table FROM ‘dbfs:/mnt/retail/bronze/*.csv‘ FILEFORMAT = CSV After successfully running the command for the first time, he has immediately ran it again but on the second time, no data was loaded into the table name. What could be the possible reason for that to happen?",D,COPY INTO command is idempotent and files in the source location that have already been loaded are skipped,1,COPY INTO is idempotent: already-loaded files are always skipped
1439,Development and Ingestion,Understand notebook capabilities,"How can you robustly do the error handling in the below Python code in order to avoid unexpected termination of your program? #program to divide first number by the second number def division(num1, num2): ________ result = num1 / num2 ________ if num2 == 0: print(“Cannot divide by 0. Please try again!“) result = None return result output = division(5,0)",C,try: ... except:,0,Error handling in notebook: try: ... except: pattern
1441,Development and Ingestion,Use Auto Loader and debugging tools,A data engineer is working on a task involving two Delta tables having the same schema. She wants to figure out the records which are common and present in both of these tables. Which of the following SQL commands can be used by her to accomplish this task?,C,INTERSECT,0,Find common rows between two datasets: INTERSECT
1444,Data Processing & Transformations,Lakeflow Spark Declarative Pipelines,A data engineer has set up a Delta Live Tables pipeline that updates all the tables once and then stops. The compute resources of the pipeline persist to allow for additional testing. Which of the following options correctly describes the execution modes of this DLT pipeline?,C,DLT pipeline is configured to run in Development mode using the Triggered Pipeline mode.,0,"DLT dev mode + triggered = runs once, cluster stays up for testing"
1446,Development and Ingestion,Use Auto Loader and debugging tools,"A data engineering team has built a pipeline which uses Auto Loader to ingest the data from cloud storage and then process it every hour. Initially, source data was partitioned on year, month and day columns. Recently, there is a new partition column called hour added in directory structure of new data files and it has caused the pipeline to fail for few hours. Now, the team has handled this condition in the code. Which of the following steps team should perform in order to ingest and reprocess the data that was not loaded due to this issue?",C,"Auto Loader uses checkpointing and write-ahead logs to allow a terminated stream to be restarted and continue from where it left off to ensure end-to-end, exactly-once semantics under any failure condition.",0,Auto Loader recovery: checkpointing enables exactly-once restarts
1447,Development and Ingestion,Understand notebook capabilities,A company has launched a new feature in its mobile application. The team of data analysts is starting a marketing campaign to monitor the KPIs of the new feature for the first 7 days. They have set up a Databricks SQL dashboard which gets automatically refreshed in every 1 hour. Which of the following options can be used to reduce of the cost of this dashboard refresh schedule over time?,E,Stop automatically updating the dashboard after one week to reduce the cost of SQL warehouse,0,Dashboard cost control: disable auto-refresh after set period
1449,Data Governance & Quality,Unity Catalog permissions,"Mike is currently the owner of sales table. He has granted the privilege for creating a view called regional_sales_vw to Ross. After the view has been created, David asks Ross to grant him the privilege to query the data from the view. Ross gave him the privileges but when David tries to access the view, he got an error. Which of the following options can be used in order to resolve this issue?",C,Mike needs to provide SELECT privilege to David on sales table,0,Grant read access to table: GRANT SELECT ON TABLE ... TO user
1450,Data Processing & Transformations,DDL and DML features,"A data engineer has to create a Delta table called students in the format given below.

id | name             | dateOfBirth | email
s1 | Sameer Malhotra  | 1999-07-27  | sameer.malhotra@univ.edu
s2 | Rohan Gavaskar   | 1998-08-30  | rohan.gavaskar@univ.edu
...| ...              | ...         | ...

Which of the following SQL DDL commands can be used by the data engineer to create an empty Delta table in the above format regardless of whether a table already exists with this name?",B,"CREATE OR REPLACE TABLE students
(
id STRING,
name STRING,
dateOfBirth DATE,
email STRING
)",1,Create or redefine table with columns: CREATE OR REPLACE TABLE (cols)
1452,Databricks Intelligence Platform,Explain the value of the Data Intelligence Platform,Where are the interactive notebook results stored in the Databricks Architecture?,E,Control Plane & Customer Managed Cloud Storage,1,Lakehouse architecture: Control Plane + Customer Managed Cloud Storage
1455,Databricks Intelligence Platform,Select appropriate compute,"A data analyst has created a dashboard using Databricks SQL. One of the queries inside it takes a long time to execute and due to this, the visualization on the dashboard takes quite long to get refreshed. Which of the following steps can be used by the data analyst in order to find out the root cause of this issue?",D,"Use Query History, click the name of the query and then click View Query Profile to see the time spent in each step",0,Profile a slow query: Query History -> query name -> View Query Profile
1457,Development and Ingestion,Use Auto Loader and debugging tools,A data engineer has to ingest data of heart rate recordings from medical devices delivered in the JSON format using Auto Loader and then create a temp view on it. One of the columns called time is inferred as string instead of timestamp data type. Which of the following code blocks can used by the data engineer to enforce the schema information for this column?,C,"(spark.readStream .format(“cloudFiles“) .option(“cloudFiles.format“, “json“) .option(“cloudFiles.schemaHints“, “time TIMESTAMP“) .option(“cloudFiles.schemaLocation“, “dbfs:/mnt/datalake/bronze/checkpoint“) .load(“dbfs:/mnt/datalake/bronze/recordings“) .createOrReplaceTempView(“recordings_raw_temp“) )",0,Auto Loader with schema hints: cloudFiles.schemaHints option
1458,Productionizing Pipelines,Workflow deployment and recovery,"A data engineer has configured a Structured Streaming job to read from a table, manipulate the data, and then perform a streaming write into a new table. The code block used by him is given below: ( spark.table(“sales“) .withColumn(“avg_price“, col(“sales“) / col(“units“)) .writeStream .option(“checkpointLocation“, checkpointPath) .outputMode(“complete“) .table(“new_sales“) ) If he did not specify the trigger method in the code, then what is the default value of the processingTime that system will use for processing the next set of data?",C,500 milliseconds,1,Streaming micro-batch interval: trigger(processingTime='N ms')
1460,Data Governance & Quality,Unity Catalog permissions,A new data engineer peter.parker@mycompany.com has been assigned to an ELT project. The new data engineer will need full privileges on the table products to fully manage the project. Which of the following commands can be used to grant full permissions on this table to the new data engineer?,A,GRANT ALL PRIVILEGES ON TABLE products TO peter.parker@mycompany.com;,0,Full table access: GRANT ALL PRIVILEGES ON TABLE ... TO user@domain
1463,Productionizing Pipelines,Workflow deployment and recovery,An electronics manufacturing company has recently launched their new smart phone in the market. The sales team is using a query to monitor the sales every day across their different stores. They want to set up an email alert to get notified when the number of units sold increases by more than 1000 units for any store on a single day. Which of the following options can be used to fill in the blanks given below in order to help the team accomplish this task? Create a ____ query that calculates total units sold for each store every day Setup an ____ with query on trigger condition total units sold > 1000 each time it is evaluated Schedule the ____ to run every 1 day Add the destination ____,C,"SQL, Alert, Refresh, Email Address",0,Alert setup order: SQL -> Alert -> Refresh -> Email Address
1465,Databricks Intelligence Platform,Explain the value of the Data Intelligence Platform,"What is the output of below function when executed with input parameters 1, 3 : def check_input(x,y): if x < y: x= x+1 if x>y: x= x+1 if x <y: x = x+1 return x",C,3,0,"Databricks notebook supports N languages: 3 (SQL, Python, Scala/R)"
1467,Development and Ingestion,Understand notebook capabilities,"What is the output of the below function when executed with input parameters 1, 3  : def check_input(x,y): if x < y: x= x+1 if x<y: x= x+1 if x <y: x = x+1 return x check_input(1,3)",C,3,0,Notebook supports N languages: 3
1469,Data Governance & Quality,Unity Catalog permissions,How does the ‘Share‘ functionality within the Catalog framework in Databricks facilitate collaboration?,C,By enabling data objects in the Catalog to be shared with designated recipients.,0,Delta Sharing = share data objects securely with recipients
1471,Data Processing & Transformations,DDL and DML features,"A data engineer is in the process of crafting a new table to store the names of customers residing in the USA. They‘ve initiated the command as follows: CREATE TABLE customersInUSA ________ AS SELECT id, firstName, lastName FROM Locations WHERE country = ‘USA‘; A more experienced data engineer has highlighted that, according to company guidelines, any new table that stores personally identifiable information (PII) must be clearly marked with a specific table property. Which snippet of code should be inserted to meet this requirement and accurately complete the command?",A,TBLPROPERTIES (‘PII‘=‘true‘),0,Mark table as PII: TBLPROPERTIES ('PII'='true')
1475,Data Processing & Transformations,DDL and DML features,What prefix is used in Databricks SQL to query data directly from Parquet files?,D,parquet,0,Delta table underlying file format: Parquet
1476,Data Processing & Transformations,DDL and DML features,A data engineer needs to normalize text data within a Databricks notebook by creating a User-Defined Function (UDF) that converts all strings to lowercase and removes spaces. Which approach should they take to achieve this within Databricks?,A,tilize a Databricks built-in function for string normalization in a Spark SQL query.,1,Normalize strings in SQL: use Databricks built-in string functions
1479,Data Processing & Transformations,DDL and DML features,"The data analysis team has reported slow Databricks SQL query performance when using their always-on SQL endpoint, especially during periods of high concurrency with many small queries. The data engineering team is looking into solutions to improve query latency, noting that all queries are directed to the same SQL endpoint. Which of the following methods could the data engineering team employ to reduce the latency of the team‘s queries?",B,They can increase the maximum bound of the SQL endpoint's scaling range.,1,Slow SQL endpoint: increase maximum bound of scaling range
1484,Data Governance & Quality,Lineage and audit logs,"When a data engineer needs to monitor the performance and status of Delta Live Tables (DLT) pipelines, which option allows them to query the event log for detailed metrics and update history?",D,Creating a temporary view on the event log path and querying this view for specific metrics.,1,DLT pipeline metrics: query event log as temp view
1485,Data Governance & Quality,Unity Catalog permissions,Which of the following commands you can use to revoke all the privileges from the group former_employees on the schema retail?,C,REVOKE ALL PRIVILEGES ON SCHEMA retail FROM former_employees;,0,Remove all schema privileges: REVOKE ALL PRIVILEGES ON SCHEMA ... FROM ...
1487,Development and Ingestion,Understand notebook capabilities,A data engineer needs to run the last part of a Python script only if the variable day_of_week is 1 and review_period is True. Which line of code should they use to start this part of the script?,D,if day_of_week == 1 and review_period,0,Run code only on day 1 of week and in review period: if day==1 and period
1489,Data Processing & Transformations,Medallion Architecture,Which statement accurately describes the relationship between Bronze tables and raw data?,D,Bronze tables contain raw data with a schema applied.,0,Bronze = raw data with schema applied (minimally processed)
1494,Data Processing & Transformations,DDL and DML features,"A data engineer has written the following command to create a new table called employees_per_department using the result of a query: CREATE TABLE employees_per_department AS SELECT department_name, COUNT(*) AS employee_count FROM department GROUP BY department_name; Which of the following statements is true about creating a table using CTAS command?",B,CREATE TABLE AS SELECT statements derive schema details from the query and you must not specify a column_specification,1,"CTAS: schema auto-inferred from query, no manual column spec"
1496,Data Governance & Quality,Unity Catalog permissions,"A newly joined team member John Smith in the Marketing team currently has access read access to sales tables but does not have access to update the table, which of the following commands help you accomplish this?",C,GRANT MODIFY ON TABLE table_name TO john.smith@marketing.com,0,Grant write to table: GRANT MODIFY ON TABLE ... TO user
1497,Databricks Intelligence Platform,Select appropriate compute,Which of the statement is correct about the cluster pools?,C,Cluster pools allow you to save time when starting a new cluster,1,Faster cluster startup: cluster pools pre-warm instances
1499,Databricks Intelligence Platform,Optimize data layout and query performance,"You are still noticing slowness in query after performing optimize which helped you to resolve the small files problem, the column(transactionId) you are using to filter the data has high cardinality and auto incrementing number. Which delta optimization can you enable to filter data effectively based on this column?",B,Perform Optimize with Zorder on transactionId,0,Speed up joins on transactionId: OPTIMIZE + ZORDER BY (transactionId)
1501,Data Governance & Quality,Lineage and audit logs,"While investigating a data issue, you wanted to review yesterday‘s version of the table using below command, while querying the previous version of the table using time travel you realized that you are no longer able to view the historical data in the table and you could see it the table was updated yesterday based on the table history(DESCRIBE HISTORY table_name) command what could be the reason why you can not access this data? SELECT * FROM table_name TIMESTAMP AS OF date_sub(current_date(), 1)",C,A command VACUUM table_name RETAIN 0 was ran on the table,1,Time travel history gone? VACUUM RETAIN 0 was probably run
1502,Data Processing & Transformations,PySpark aggregations,Identify one of the below statements that can query a delta table in PySpark Dataframe API,C,Spark.read.table(“table_name“),0,Read Delta table in PySpark: spark.read.table('table_name')
1503,Data Processing & Transformations,DDL and DML features,"When you drop an external DELTA table using the SQL Command DROP TABLE table_name, how does it impact metadata(delta log, history), and data stored in the storage?",D,"Drops table from metastore, but keeps metadata(delta log, history)and data in storage",1,"DROP TABLE on external table: keeps data + log, removes from metastore"
1504,Development and Ingestion,Understand notebook capabilities,Which of the following commands can be used to query a delta table?,C,Both A & B,0,display() and print() both work for notebook output
1509,Data Processing & Transformations,Medallion Architecture,Which of the following python statement can be used to replace the schema name and table name in the query statement?,C,table_name = “sales“ schema_name = “bronze“ query = f“select * from { schema_name}.{table_name}“,0,Reference schema in f-string: f'select * from {schema}.{table}'
